,RA,DEC
977,52.147376,-37.356767
978,52.162168,-35.894824
979,52.172281,-39.335587
980,52.176336,-35.885094
981,52.18423,-48.817121
982,52.231354,-30.961733
983,52.238656,-36.43696
984,52.247867,-44.197188
985,52.257726,-37.360604
986,52.279944,-36.161572
987,52.287913,-48.974931
988,52.290198,-41.414121
989,52.300461,-36.326471
990,52.311361,-39.110094
991,52.312031,-34.921756
992,52.317926,-37.985426
993,52.318078,-49.824531
994,52.324906,-39.942045
995,52.331972,-30.361398
996,52.338585,-37.338165
997,52.359108,-35.603981
998,52.390348,-35.86807
999,52.393423,-36.703161
1000,52.400129,-46.42115
1001,52.403365,-37.790024
1002,52.424968,-36.410457
1003,52.425426,-36.221444
1004,52.441691,-56.746115
1005,52.451312,-56.767797
1006,52.5216,-57.773866
1007,52.543128,-34.801194
1008,52.575252,-35.075737
1009,52.598611,-37.579939
1010,52.599631,-56.682803
1011,52.652489,-35.041737
1012,52.654797,-44.045596
1013,52.661208,-35.227282
1014,52.663472,-36.485924
1015,52.694269,-35.354625
1016,52.755157,-35.637583
1017,52.761728,-49.380507
1018,52.775538,-46.054013
1019,52.816628,-49.552344
1020,52.821488,-57.477844
1021,52.836235,-35.819494
1022,52.862465,-35.493999
1023,52.912735,-36.276814
1024,52.945986,-35.676084
1025,52.953192,-35.582602
1026,52.98272,-38.245994
1027,53.002367,-58.468567
1028,53.01302,-38.20461
1029,53.021962,-35.42568
1030,53.043107,-38.119289
1031,53.071791,-43.575902
1032,53.114181,-35.775578
1033,53.124222,-36.088536
1034,53.151086,-52.577168
1035,53.153958,-38.159505
1036,53.161539,-37.654664
1037,53.164341,-45.742366
1038,53.165127,-39.150967
1039,53.184629,-42.473179
1040,53.188397,-55.385014
1041,53.195489,-37.641938
1042,53.199825,-48.433813
1043,53.202247,-35.945925
1044,53.202515,-36.153058
1045,53.203551,-44.271615
1046,53.219045,-45.340643
1047,53.23925,-35.737459
1048,53.242678,-37.270621
1049,53.260693,-45.855232
1050,53.260725,-36.924075
1051,53.263832,-36.443181
1052,53.277472,-49.202575
1053,53.292488,-52.450375
1054,53.303639,-38.234624
1055,53.319154,-36.094168
1056,53.324686,-38.867862
1057,53.342599,-35.605567
1058,53.348916,-47.761809
1059,53.359121,-39.016413
1060,53.365517,-35.964665
1061,53.375396,-38.08894
1062,53.383887,-35.661762
1063,53.387769,-35.70434
1064,53.399655,-39.072157
1065,53.423465,-50.06102
1066,53.428761,-44.630682
